neighborhood,landsize,housesize,bedroom,bathroom,parkinglot,price
Cumbayá,390,320,4,4,2,550000
Mitad del Mundo,201,189,3,2,3,109000
Cumbayá,383,305,3,2,2,235000
Llano Chico,153,108,3,2,2,73000
Los Chillos,265,225,3,3,3,350000
Los Chillos,440,440,3,3,3,450000
Calderón,164,117,4,3,1,68000
Pomasqui,205,147,3,3,2,106000
Quitumbe,130,130,5,4,1,74000
Quito,360,360,4,4,4,365000
Calderón,171,130,3,2,2,80000
Tumbaco,561,302,4,5,2,340000
Vía Simón Bolivar,530,330,4,4,2,335000
San Gabriel,185,157,3,2,2,82000
Lumbisí,286,286,3,3,2,350000
Cumbayá,580,580,3,4,4,580000
Carcelén,165,165,3,2,2,99500
Carcelén,213,240,3,2,4,125000
Centro Norte,175,160,3,2,1,155000
Calderón,154,94,3,2,1,90000
Mitad del Mundo,110,110,3,1,2,78000
Norte de Quito,232,232,4,3,2,175000
Cumbayá,298,180,4,3,2,238000
Sur de Quito,119,222,3,2,2,170000
Norte de Quito,276,196,4,3,3,153700
Cumbayá,576,456,3,3,2,450000
Cumbayá,150,150,3,2,2,245000
Carcelén,117,110,3,1,1,50000
Los Chillos,150,134,3,2,2,95000
Conocoto,149,149,3,3,1,79000
Sur de Quito,115,104,3,2,1,57000
Calderón,166,166,4,2,2,155000
Pomasqui,233,233,4,4,2,130000
Calderón,145,135,3,2,1,79500
San Rafael,196,196,2,3,2,192856
El Inca,165,145,4,2,2,135000
Cumbayá,300,300,3,3,3,460000
Tumbaco,386,258,4,4,4,250000
Conocoto,207,154,3,2,2,92000
Calderón,247,157,3,3,2,130000
Llano Grande,84,84,3,2,1,65000
Quito,100,100,3,2,2,96000
Los Chillos,135,123,4,2,2,75000
Calderón,146,146,3,2,1,97000
Los Chillos,129,129,3,2,1,75000
Pomasqui,100,100,3,2,1,69500
Cumbayá,170,96,2,2,1,155000
Calderón,147,128,3,1,2,58900
Tumbaco,316,223,3,4,2,295000
Tumbaco,269,395,3,3,3,265000
Carcelén,129,129,3,2,2,92900
Los Chillos,100,100,3,2,2,95000
Tumbaco,409,318,3,4,3,405000
Calderón,170,170,4,2,2,100000
El Condado,200,160,3,2,2,85000
Calderón,100,100,3,2,1,86100
Mitad del Mundo,134,134,3,2,1,115000
Nayón - Tanda,220,169,4,2,2,240000
Norte de Quito,196,196,3,2,2,129900
La Armenia,507,507,5,4,2,190000
El Batán,280,280,4,3,3,350000
Conocoto,400,400,4,4,4,225000
Los Chillos,473,233,4,4,2,249000
La Armenia,142,142,3,2,2,145000
Cumbayá,384,384,3,3,3,495000
Amagasí,150,120,3,2,1,105000
Los Chillos,308,202,4,4,2,169000
Cumbayá,234,204,3,2,2,240000
Los Chillos,1000,584,5,5,4,315000
Amagasí,170,160,3,2,2,118900
Centro Norte,175,134,3,2,2,122000
Tumbaco,170,170,2,2,3,210000
Pomasqui,130,130,3,2,2,90000
Los Chillos,138,138,3,2,2,140000
Mitad del Mundo,500,262,3,3,2,247900
Carcelén,152,152,3,3,2,170000
El Condado,521,521,4,5,4,320000
Los Chillos,277,277,3,3,3,219000
El Condado,200,200,4,4,2,120000
Puembo,245,150,3,2,4,159000
Mitad del Mundo,180,180,3,2,1,97000
Sangolqui,290,290,5,3,4,130000
El Condado,650,620,4,4,4,300000
Cumbayá,365,165,3,2,2,185000
Lumbisí,189,189,3,2,3,250000
Conocoto,155,117,3,2,1,109000
Calderón,145,117,4,2,1,78000
Conocoto,82,82,3,1,1,66500
Tumbaco,956,500,5,6,4,625000
Conocoto,294,254,4,2,2,111500
Carcelén,220,148,4,3,2,167999
Cumbayá,230,175,3,4,2,208000
Cumbayá,544,544,3,4,4,695000
El Pinar,256,256,4,3,4,200000
Centro Norte,288,288,3,2,2,280000
Conocoto,98,98,3,2,1,80000
Cumbayá,173,173,3,3,2,170000
Tumbaco,140,140,3,2,2,135000
La Armenia,610,345,4,4,2,320000
Conocoto,104,104,3,2,2,92000
Tumbaco,269,269,3,3,2,195000
Norte de Quito,89,89,3,2,1,76600
Mitad del Mundo,767,600,4,3,2,350000
La Armenia,177,136,3,3,2,145000
Sangolqui,146,146,3,2,2,128000
Norte de Quito,160,160,3,2,2,79900
Cumbayá,258,191,3,2,2,200000
Tumbaco,260,200,3,3,2,260000
Ponceano,205,205,3,2,2,119000
Cumbayá,278,189,3,3,2,220000
Norte de Quito,453,453,4,4,2,370000
Tumbaco,338,160,2,1,3,228000
Calderón,128,85,3,2,2,75500
Puembo,450,300,4,4,4,180000
Cumbayá,240,190,3,2,2,228000
Centro Norte,238,238,4,2,4,174000
Llano Grande,98,98,3,3,1,69000
Los Chillos,60,175,3,3,2,175000
San Rafael,164,164,3,2,2,112000
Conocoto,155,117,3,2,2,109000
Amagasí,340,300,3,2,3,310000
Ponceano,205,205,3,2,2,122000
La Armenia,646,268,3,4,4,270000
Cumbayá,481,480,5,5,2,325000
Tumbaco,345,215,3,2,3,190000
Miravalle,306,216,3,3,2,280000
Centro Norte,159,137,4,2,1,138000
Centro Norte,295,236,4,3,3,180000
Llano Chico,217,143,4,3,1,99600
Calderón,139,115,3,2,2,63000
Calderón,156,135,3,2,1,79990
San Rafael,360,197,3,3,2,148000
Cumbayá,140,140,3,2,2,155000
Cumbayá,500,350,4,4,2,335000
Checa,163,163,2,2,2,320000
Tumbaco,328,198,3,3,2,295000
Tumbaco,230,175,3,2,2,165000
Nayón - Tanda,300,225,3,3,2,280000
Sangolqui,192,192,4,3,2,149000
Calderón,780,150,3,2,4,145000
Conocoto,160,160,3,2,1,114500
Tumbaco,453,275,3,3,2,330000
Tumbaco,250,178,3,2,2,185000
Los Chillos,164,130,4,2,2,108000
Cumbayá,200,170,3,3,2,195000
Cumbayá,540,500,4,4,2,398000
Cumbayá,304,227,3,2,2,279900
Centro Norte,230,230,4,5,2,185000
Los Chillos,176,114,3,2,2,114900
Tumbaco,588,310,3,3,2,385000
El Bosque,157,220,3,2,2,200000
Los Chillos,198,177,3,2,2,115000
San Juan de Cumbayá,293,268,3,2,2,275000
Tumbaco,400,400,4,3,4,370000
Tumbaco,290,260,3,2,2,260000
Conocoto,100,82,3,2,1,59000
Tumbaco,500,185,3,2,2,260000
Cumbayá,596,396,4,3,3,450000
Norte de Quito,185,133,3,3,1,84900
Norte de Quito,164,127,4,2,1,114900
Tumbaco,227,170,4,3,2,167990
Los Chillos,155,155,3,1,1,49900
El Condado,242,200,3,3,2,160000
Cumbayá,220,220,4,2,2,200000
Norte de Quito,220,182,4,3,2,180000
Los Chillos,600,400,5,6,4,379000
Los Chillos,145,106,3,2,2,90000
Tumbaco,301,207,3,2,2,245000
Norte de Quito,812,225,3,2,4,205000
La Armenia,104,104,3,2,2,87000
Cumbayá,165,165,3,2,2,220000
Sangolqui,476,417,4,4,4,270000
Cumbayá,205,205,3,2,2,255000
Norte de Quito,263,263,5,4,1,65000
Sangolqui,950,290,3,3,2,234500
Pomasqui,141,141,3,2,2,95000
Monteserrín,288,246,4,3,3,257000
Ruta Viva,309,216,3,2,2,180000
Tumbaco,280,220,3,3,3,262000
Norte de Quito,204,137,3,2,2,159000
Los Chillos,135,135,3,2,2,120000
Calderón,223,127,3,2,3,119900
Tumbaco,500,325,3,3,3,395000
Conocoto,146,114,3,2,1,85000
Cumbayá,400,280,4,3,2,265000
Conocoto,145,120,3,1,2,105000
Cumbayá,409,318,3,3,3,410000
Tumbaco,233,213,3,2,2,155000
Cumbayá,709,400,3,3,4,499000
Conocoto,240,170,3,2,4,110000
Los Chillos,115,115,3,2,1,82000
Cumbayá,800,574,3,5,2,350000
Los Chillos,527,268,3,3,3,190000
Tumbaco,233,208,3,4,2,249900
Norte de Quito,188,188,4,3,2,155000
El Condado,400,400,3,3,2,320000
Los Chillos,573,277,4,5,3,230000
Las Casas,260,260,5,5,3,219000
Sur de Quito,185,175,3,3,1,73000
Sur de Quito,180,173,3,2,1,78000
Los Chillos,1060,166,3,2,3,190000
Tumbaco,399,210,3,2,2,240000
San Bartolo,138,113,4,3,1,80000
Tumbaco,400,240,3,4,2,300000
El Condado,150,120,3,3,1,120000
Calderón,125,90,3,2,1,62000
Carcelén,210,200,3,2,1,127000
Cumbayá,740,430,4,4,4,650000
Centro Norte,168,168,3,2,2,135000
Cumbayá,280,280,3,3,2,260000
El Condado,206,206,3,2,3,45000
Cumbayá,700,550,5,6,4,640000
Norte de Quito,397,348,5,5,3,293000
El Inca,165,165,3,2,2,126000
Calderón,149,131,3,1,1,55000
Norte de Quito,609,609,5,4,4,470000
Calderón,160,115,3,2,2,58000
Cumbayá,255,193,3,2,2,221000
Sangolqui,180,180,4,2,2,176000
Nayón - Tanda,397,214,3,4,2,260000
Conocoto,224,162,3,1,2,140000
Mitad del Mundo,223,167,3,2,2,129600
Tumbaco,250,190,3,2,2,250000
Norte de Quito,247,247,4,3,3,260000
Pomasqui,197,141,4,3,2,104000
Tumbaco,850,367,3,4,2,640000
Norte de Quito,500,420,4,4,4,424900
Cumbayá,162,148,3,3,2,139000
Cumbayá,179,135,3,2,2,170000
Tumbaco,300,232,2,2,2,130000
Tumbaco,395,274,3,4,2,335000
Pifo,240,110,3,2,3,107000
El Condado,185,160,4,4,2,88000
Calderón,247,157,3,3,2,135000
Norte de Quito,105,92,3,2,1,75000
Tumbaco,600,300,4,3,4,250000
Los Chillos,132,132,3,2,2,115000
Los Chillos,700,240,3,3,1,225000
Centro Norte,341,341,3,3,2,260000
La Armenia,180,180,4,4,1,140000
Tumbaco,260,191,3,3,2,190000
Miravalle,260,230,3,4,2,250000
San Rafael,340,208,5,5,2,159000
Cumbayá,560,560,4,5,4,419000
Cumbayá,600,360,4,4,4,480000
Sur de Quito,200,170,3,2,1,70000
Cumbayá,240,210,3,2,2,200000
Tumbaco,315,211,3,3,2,250000
Sangolqui,145,120,3,2,2,79500
Cumbayá,268,268,4,2,2,285000
Los Chillos,600,279,3,3,3,165000
Cumbayá,350,332,5,4,3,389000
Conocoto,156,156,2,2,2,140000
Sangolqui,190,100,2,2,3,110000
La Armenia,236,152,5,3,2,85000
Los Chillos,350,350,5,5,1,85000
Nayón - Tanda,778,271,4,3,4,450000
Los Chillos,150,120,3,2,1,112500
Norte de Quito,182,182,3,2,2,130000
El Condado,429,402,4,3,2,295000
Calderón,223,127,3,2,3,119900
Cumbayá,225,220,3,2,2,198000
Tumbaco,240,140,2,2,2,140000
Los Chillos,180,156,3,2,2,143000
Cumbayá,341,230,3,3,2,268000
Nayón - Tanda,565,365,4,4,2,330000
Los Chillos,203,140,3,2,2,130000
Conocoto,256,204,3,1,1,77900
Tumbaco,200,190,3,3,2,150000
Calderón,149,94,3,2,2,95000
La Armenia,155,117,3,2,2,115000
La Armenia,353,218,4,3,3,165000
Tumbaco,240,175,3,3,2,220000
Sangolqui,381,381,5,3,4,282000
Norte de Quito,175,105,3,2,1,79990
Tanda,390,280,3,3,2,335000
La Armenia,270,240,3,2,2,96000
Pomasqui,176,141,3,2,2,90250
La Armenia,87,87,3,2,1,82000
Sur de Quito,500,500,4,2,2,115000
Tumbaco,400,400,3,3,4,370000
La Armenia,278,278,4,2,1,145000
Norte de Quito,222,200,3,3,2,178000
Norte de Quito,227,227,4,4,2,185000
Cumbayá,459,388,4,3,4,585000
Cumbayá,225,185,3,3,2,282000
Carcelén,215,186,3,3,2,120000
Sur de Quito,107,107,3,2,1,87000
Los Chillos,570,300,4,3,3,225000
Tumbaco,232,145,3,2,2,185000
La Armenia,185,170,3,2,2,108000
Calderón,215,165,3,2,2,131000
Calderón,380,180,3,2,4,115000
El Condado,400,400,4,5,2,345000
Tumbaco,308,197,3,3,2,310000
Carcelén,200,180,4,4,1,82000
Carcelén,411,364,3,3,2,220000
Tumbaco,300,165,3,2,3,185000
Los Chillos,150,150,4,2,2,139000
Cumbayá,314,247,3,3,2,235000
Tumbaco,458,325,3,4,3,395000
El Inca,170,170,4,3,2,135000
La Armenia,93,75,3,1,1,55000
Tumbaco,200,164,3,2,2,210000
Los Chillos,110,98,3,2,1,78000
Los Chillos,174,170,3,2,1,95000
Cumbayá,194,126,3,2,2,175000
Cumbayá,390,390,4,4,3,565000
Cumbayá,800,269,3,4,4,399900
Amagasí,312,312,3,3,3,238000
Cumbayá,613,400,3,4,2,360000
El Inca,114,168,3,2,2,114000
Cumbayá,192,180,3,2,2,192000
Calderón,160,120,4,3,2,100000
Cumbayá,310,285,3,3,2,278000
Norte de Quito,166,160,3,2,2,165000
Nayón - Tanda,471,244,3,2,2,270000
Norte de Quito,1000,300,5,3,1,320000
Cumbayá,380,350,5,5,2,320000
La Armenia,410,410,4,4,3,300000
Puembo,380,280,3,3,2,335000
Norte de Quito,206,182,4,3,2,140000
Tumbaco,175,175,3,3,2,175000
Norte de Quito,220,195,3,3,2,185000
Calderón,132,102,3,2,1,75000
El Bosque,518,379,3,4,3,390000
Cumbayá,415,319,3,4,3,420000
Norte de Quito,295,234,4,3,3,187000
Mitad del Mundo,420,272,4,4,4,250000
Los Chillos,234,134,3,2,2,133900
Cumbayá,346,270,3,4,2,350000
Tumbaco,180,160,3,3,3,176800
Mitad del Mundo,80,80,2,3,1,68000
Sur de Quito,90,63,3,2,1,50000
Los Chillos,309,130,3,3,2,115000
La Armenia,222,222,3,3,2,160000
Centro Norte,230,180,3,2,3,100000
Cumbayá,330,270,4,3,2,289000
Sangolqui,380,380,4,3,3,340000
Calderón,183,118,4,2,2,95000
Calderón,166,114,3,2,1,80000
San Rafael,488,120,3,3,4,176000
Pomasqui,150,118,3,2,1,68000
Tumbaco,208,164,3,2,2,150000
Cumbayá,205,205,3,4,3,300000
Cumbayá,282,280,3,4,3,340000
Puembo,600,260,4,4,2,328000
Tumbaco,310,249,3,4,2,205000
Carcelén,193,111,3,2,2,99000
Los Chillos,540,300,4,3,3,280000
Los Chillos,312,312,3,3,4,125000
Los Chillos,150,130,3,2,2,96000
Cumbayá,190,160,3,2,2,185000
Cumbayá,480,245,4,4,2,380000
Amagasí,211,179,3,3,2,175000
Sangolqui,147,116,3,2,1,64800
Tumbaco,216,143,3,2,2,160000
Tumbaco,164,164,3,2,2,210000
Cumbayá,340,290,3,2,4,265000
Carcelén,145,145,3,3,1,110000
San Rafael,221,221,5,5,2,165000
Calderón,163,120,3,2,1,95000
Cumbayá,343,343,3,4,4,430000
Cumbayá,537,337,3,3,2,400000
Ponceano,175,140,4,2,2,110000
Amagasí,212,212,5,4,2,178000
Cumbayá,185,185,3,3,3,230000
Sangolqui,255,255,5,2,3,109000
Cumbayá,450,250,3,3,3,350000
Los Chillos,193,193,4,3,2,189000
Cumbayá,519,250,4,4,4,325000
Tumbaco,265,265,4,4,2,179000
Los Chillos,200,170,4,4,3,143000
Cumbayá,422,336,3,4,2,430000
Norte de Quito,153,218,3,2,2,145000
Cumbayá,235,170,3,2,2,229500
El Pinar,142,130,4,3,1,115000
Norte de Quito,94,94,3,2,1,63000
Nayón - Tanda,1050,271,3,3,4,440000
Granda Centeno,210,170,5,3,2,210000
Ponceano,237,237,5,4,2,139000
Cumbayá,224,170,3,2,2,250000
La Armenia,136,136,3,2,2,135000
Llano Grande,304,249,3,2,1,110000
La Armenia,164,116,3,2,2,108000
Cumbayá,325,200,3,3,3,280000
Vía Simón Bolivar,167,130,3,2,2,85000
Tumbaco,700,400,3,4,2,445000
Carcelén,92,92,3,2,1,95000
Mitad del Mundo,172,138,3,2,2,100000
Tumbaco,350,220,3,2,2,235000
Los Chillos,246,176,3,2,1,120000
Cumbayá,230,230,3,2,2,299000
Tumbaco,175,175,3,2,2,190000
Cumbayá,500,350,4,5,2,320000
Quitumbe,300,240,4,4,4,90000
Los Chillos,161,144,3,3,2,119000
Mitad del Mundo,129,99,3,2,2,82990
Santa Lucía Alta,167,150,4,3,2,160000
Norte de Quito,163,127,3,2,1,114900
El Pinar,241,180,3,2,2,165000
Cumbayá,195,195,4,4,3,240000
Tumbaco,301,181,3,2,2,245000
Yaruqui,451,127,3,2,2,120000
Norte de Quito,600,300,3,3,4,420000
La Armenia,300,230,3,3,2,199000
Sangolqui,115,115,3,2,1,95500
Tumbaco,261,191,3,2,2,180000
El Condado,275,234,3,3,2,177000
Nayón - Tanda,250,250,2,2,2,229000
Cumbayá,500,420,3,3,3,420000
Carcelén,124,124,3,2,1,118000
Tumbaco,230,165,3,3,2,153000
Tumbaco,108,86,3,2,1,92000
Mitad del Mundo,138,104,2,2,1,47000
Los Chillos,452,337,2,3,2,286000
La Armenia,112,100,3,2,2,84000
Pomasqui,132,122,3,2,3,125000
Los Chillos,148,148,4,2,2,140000
Cumbayá,450,420,3,4,2,420000
Conocoto,166,134,4,3,2,105000
Sangolqui,505,204,4,2,4,154990
Tumbaco,290,145,3,2,2,180000
Cumbayá,543,350,4,4,2,465000
Pomasqui,162,100,4,2,2,93000
Pomasqui,100,88,3,2,2,90000
Cumbayá,167,151,3,2,2,163000
Miravalle,285,218,3,4,2,315000
Los Chillos,320,320,4,4,3,285000
Carcelén,350,295,5,5,3,180000
El Condado,148,118,3,2,2,88000
Sangolqui,200,180,2,2,2,159000
La Armenia,304,195,3,2,2,168000
El Condado,130,110,3,2,1,98000
Norte de Quito,264,264,4,5,1,145000
Cumbayá,432,432,3,3,4,480000
La Armenia,350,251,5,4,3,219000
Carcelén,168,137,3,3,2,117000
Calderón,126,102,3,2,1,69000
Los Chillos,155,115,3,2,2,110000
Cumbayá,235,170,3,3,2,212000
Tumbaco,172,119,3,2,1,130000
El Condado,362,362,4,4,2,189000
Tumbaco,320,320,3,3,4,490000
Tumbaco,289,147,3,2,2,180000
Calderón,557,318,3,2,4,150000
Los Chillos,193,165,3,2,3,139000
Cumbayá,430,430,3,4,3,590000
Conocoto,150,96,3,2,1,79000
Norte de Quito,188,188,4,2,2,155000
Centro Norte,181,127,3,2,2,115000
Los Chillos,324,213,4,3,3,230000
Sangolqui,120,120,3,1,2,117000
Mitad del Mundo,74,67,4,1,1,67400
Tumbaco,253,229,4,4,2,190000
Norte de Quito,153,153,3,2,1,169000
Ponceano,250,250,4,4,3,249000
Sangolqui,360,200,4,5,2,168000
La Armenia,235,204,4,2,2,139000
Carcelén,232,183,3,3,2,124900
El Condado,619,619,4,4,4,360000
Monteserrín,300,300,3,2,2,260000
Pomasqui,207,150,4,2,2,99000
Los Chillos,130,96,3,2,1,86900
Los Chillos,239,130,3,2,2,138500
Los Chillos,452,210,4,3,3,350000
Los Chillos,154,130,3,2,1,85000
Sangolqui,450,237,4,3,2,189900
Los Chillos,200,170,4,2,2,78000
Tumbaco,220,180,3,3,2,200000
Tumbaco,159,125,3,2,2,95000
Norte de Quito,100,150,4,3,2,25000
Calderón,190,120,3,2,1,68000
Tumbaco,200,180,3,3,2,187000
Carapungo,186,186,3,2,2,89000
Mitad del Mundo,215,167,3,2,2,110000
Conocoto,161,78,3,1,2,73000
Los Chillos,150,134,4,2,2,95000
Cumbayá,173,160,2,2,2,168000
Tumbaco,406,406,4,3,2,314900
Tumbaco,192,160,3,2,2,154990
Tumbaco,380,250,4,2,3,225000
Norte de Quito,112,97,3,2,2,48000
Cumbayá,485,485,4,3,4,460000
Tumbaco,209,156,3,2,2,182000
Conocoto,120,114,3,2,1,75000
Calderón,170,112,3,2,1,81000
El Inca,163,163,3,2,2,105000
Cumbayá,220,220,3,2,2,250000
Cumbayá,270,255,3,2,2,235000
Calderón,122,122,2,1,1,45900
Sangolqui,312,182,4,2,1,142000
Conocoto,215,200,4,4,3,150000
La Armenia,170,134,4,3,2,120000
Nayón - Tanda,610,478,4,5,2,390000
Los Chillos,700,300,3,3,2,240000
Sangolqui,192,190,4,3,2,149000
Tumbaco,956,500,4,4,4,700000
Calderón,171,171,3,2,2,75000
Cumbayá,1000,237,3,3,3,435000
Conocoto,175,175,3,2,2,138000
Cumbayá,320,260,4,4,2,270000
Puembo,500,500,4,4,4,675000
Quito Tenis,360,360,3,4,3,480000
Cumbayá,142,97,3,3,1,120000
Mitad del Mundo,202,145,3,2,1,125000
Cumbayá,216,216,3,3,2,230000
Conocoto,197,197,3,2,2,115000
Norte de Quito,172,151,3,2,1,150000
Tumbaco,120,120,3,2,2,120000
Tumbaco,280,200,3,2,2,215000
Carapungo,182,182,4,3,1,97000
El Condado,235,200,3,4,2,230000
Quito Tenis,120,120,3,2,1,89000
Cumbayá,600,350,4,3,2,330000
Tumbaco,209,156,3,2,2,180000
La Armenia,1000,400,3,3,4,390000
El Inca,194,156,4,3,2,99000
Conocoto,170,100,3,2,2,80000
Carcelén,120,120,3,2,1,130000
Tumbaco,360,360,4,4,4,500000
Nayón - Tanda,301,250,3,2,2,240000
Conocoto,520,520,5,4,3,350000
Los Chillos,312,138,3,2,4,117000
El Recreo,150,138,3,2,2,115000
Cumbayá,366,265,3,3,2,439000
Conocoto,236,151,3,3,2,145000
Conocoto,130,130,3,2,2,125000
Cumbayá,293,220,3,3,4,420000
Tumbaco,270,209,3,3,2,275000
Los Chillos,167,130,3,2,2,99900
San Isidro - Vista Grande,510,500,4,4,4,410000
La Armenia,277,224,3,5,3,219990
San Rafael,189,142,5,3,2,137000
Sur de Quito,430,430,3,2,2,63500
Centro Norte,450,360,4,3,4,500000
El Pinar,193,193,4,3,2,180000
Tumbaco,190,171,3,3,2,229000
Tumbaco,264,193,3,3,3,215000
Los Chillos,330,160,4,4,3,145000
Tumbaco,192,172,3,2,2,230000
Los Chillos,200,130,3,2,2,120000
Tumbaco,253,229,4,5,2,190000
El Condado,411,398,4,3,2,380000
Nayón - Tanda,580,265,4,4,4,365000
Cumbayá,180,180,3,3,2,230000
Sur de Quito,213,213,3,1,1,140000
Carcelén,181,181,4,3,2,105000
Centro Norte,220,220,3,2,2,128000
Los Chillos,520,480,4,5,2,420000
Puembo,284,284,4,3,2,340000
Tumbaco,190,171,3,3,2,235500
Norte de Quito,312,232,3,3,3,174990
Norte de Quito,169,144,3,2,2,135000
Tumbaco,547,314,4,4,2,340000
Granda Centeno,126,126,3,2,2,143000
Tumbaco,207,120,3,2,2,131000
Sur de Quito,86,86,2,1,1,58000
Los Chillos,381,381,3,2,3,185000
Los Chillos,186,134,4,3,1,135000
Bellavista,157,145,3,3,2,133000
Nayón - Tanda,246,190,2,2,2,285000
Norte de Quito,200,153,4,3,2,120000
Calderón,260,235,3,2,2,167000
Cumbayá,500,350,4,4,2,335000
Tumbaco,187,121,3,2,2,135000
Puembo,268,268,4,3,2,335000
Norte de Quito,170,161,3,2,2,125000
Cumbayá,420,355,4,4,2,480000
Calderón,176,138,3,3,2,124900
Amagasí,136,136,4,3,1,120000
Pomasqui,175,141,3,2,2,115000
San Rafael,422,422,4,4,4,235000
Miravalle,460,380,3,3,2,470000
Carapungo,402,402,5,2,2,198000
Sur de Quito,189,117,3,1,1,68000
El Pinar,241,164,3,3,2,199000
Norte de Quito,170,116,4,2,2,86200
Los Chillos,235,235,4,2,1,120000
Centro Norte,150,150,3,2,2,152000
Conocoto,223,151,3,2,2,98000
Tumbaco,165,165,3,2,2,197000
Centro Norte,210,190,5,3,1,138500
Los Chillos,220,200,3,2,2,165000
Tumbaco,340,300,3,3,2,360000
Norte de Quito,145,117,4,2,1,88000
Cumbayá,353,268,4,2,2,280000
Sangolqui,167,117,3,2,1,99999
Los Chillos,181,167,4,1,2,150000
Nayón - Tanda,385,320,3,3,4,520000
Mitad del Mundo,135,80,3,1,1,70000
Cumbayá,313,313,4,4,4,405000
Conocoto,110,110,3,2,1,66500
Los Chillos,201,200,4,2,2,130000
Cumbayá,350,250,4,4,3,320000
Cumbayá,260,190,4,3,2,230000
Tumbaco,193,193,3,3,2,230000
Norte de Quito,600,400,4,5,2,250000
Cumbayá,195,130,3,2,2,140000
Cumbayá,383,222,3,2,2,235000
Centro Norte,101,86,2,2,1,99000
Conocoto,180,180,3,2,2,118000
Tumbaco,201,201,3,2,2,240000
Puembo,600,340,4,4,4,600000
Los Chillos,190,126,3,2,2,99000
Los Chillos,407,217,2,2,4,159000
Cumbayá,313,313,4,4,2,295000
Mitad del Mundo,89,72,3,1,1,50000
El Condado,162,162,3,2,2,105000
San Rafael,148,142,4,3,1,109900
Los Chillos,238,238,3,3,2,240000
Pomasqui,132,122,3,2,3,125000
Cumbayá,234,234,3,3,2,290000
Tumbaco,281,187,3,2,2,209000
Norte de Quito,573,448,5,4,4,357000
Carcelén,210,183,3,3,2,130000
El Pinar,191,191,3,2,1,130000
Puembo,300,300,3,4,4,480000
Cumbayá,413,279,3,3,4,320000
Cumbayá,240,240,3,3,2,290000
Norte de Quito,220,220,3,2,1,95000
Calderón,208,136,3,2,1,95000
Ponceano,193,173,3,2,1,115000
Yaruqui,800,80,2,1,4,130000
Cumbayá,240,240,3,2,3,300000
Cumbayá,181,181,3,2,2,285000
Conocoto,159,117,4,2,2,75000
Nayón - Tanda,354,290,4,3,4,198000
Calderón,140,122,4,2,1,74000
Cumbayá,473,473,4,4,2,699000
Conocoto,657,657,3,3,4,550000
Cumbayá,490,240,4,4,4,270000
Carcelén,191,88,3,2,1,79900
Santa Lucía Alta,295,235,3,3,2,175000
La Armenia,110,90,3,2,1,79900
Calderón,85,85,3,2,1,55000
Miravalle,580,575,4,3,4,410000
Norte de Quito,571,570,4,4,4,335000
Cumbayá,150,120,3,2,1,115000
Cumbayá,177,177,3,4,2,238000
Tumbaco,211,152,3,3,2,146000
El Condado,316,316,4,4,3,299000
Tumbaco,148,104,3,2,1,97000
Norte de Quito,207,207,5,3,1,95000
Los Chillos,228,130,3,2,2,129000
Cumbayá,350,230,3,3,2,264500
Monteserrín,278,278,3,2,4,200000
Nayón - Tanda,461,311,3,3,3,340000
Carcelén,400,314,4,3,4,172000
Cumbayá,600,350,5,4,2,325000
Pifo,490,490,3,3,4,489000
Miravalle,595,420,3,4,2,390000
Tumbaco,242,167,3,3,2,180000
Cumbayá,236,160,3,4,2,175000
Centro Norte,165,130,3,1,1,115000
Cumbayá,1041,505,5,5,3,565000
Pomasqui,89,75,2,1,1,55000
Los Chillos,324,166,3,2,3,189000
Cumbayá,331,237,3,2,2,280000
Los Chillos,120,117,3,2,1,70000
San Isidro - Vista Grande,181,127,3,2,2,114000
Mitad del Mundo,117,117,3,2,1,58000
Cumbayá,600,600,4,4,2,460000
Conocoto,193,193,4,2,1,94900
Norte de Quito,176,166,4,2,2,128000
Tumbaco,830,500,4,5,3,390000
Pomasqui,164,145,3,2,2,135000
Tumbaco,800,422,3,3,4,680000
Sangolqui,500,350,4,3,2,299000
Cumbayá,300,270,5,3,2,287000
Norte de Quito,253,253,4,3,2,195000
Carcelén,97,92,3,2,1,96000
Los Chillos,424,321,4,4,3,550000
Ponceano,472,309,4,3,2,170000
Cumbayá,274,274,3,3,2,360000
Carcelén,256,179,3,3,3,143000
El Pinar,165,165,4,3,1,128000
El Condado,184,184,3,3,2,170000
Conocoto,150,134,4,3,2,87000
Tumbaco,410,220,3,3,2,270000
Norte de Quito,235,200,4,2,1,85000
Ponceano,505,379,3,2,2,164000
La Armenia,158,158,3,2,2,105000
Norte de Quito,240,240,4,3,1,124990
Sangolqui,1000,140,3,2,4,140000
Pomasqui,121,91,3,2,1,68000
Cumbayá,290,230,3,3,2,290000
Tumbaco,290,147,3,2,2,175000
Tumbaco,415,319,3,4,3,420000
Centro de Quito,155,155,3,2,1,73000
Norte de Quito,300,180,4,3,2,135000
Cumbayá,215,180,3,3,2,189000
Cumbayá,360,275,4,4,2,305000
Cumbayá,450,350,4,3,3,405000
Conocoto,217,137,4,3,2,99000
Tumbaco,256,133,3,2,3,144500
Nayón - Tanda,244,160,4,3,2,218000
Santa Lucía Alta,145,130,3,2,1,109000
Tumbaco,310,250,3,5,2,220000
La Armenia,230,130,3,2,2,115000
Tumbaco,180,150,3,2,2,199000
Cumbayá,420,390,4,4,3,450000
